AA,BB,CC,HH,II,JJ,KK,LL,NN,OO,PP
b,30.83,0,1.25,t,t,1,f,202,0,+
a,58.67,4.46,3.04,t,t,6,f,43,560,+
a,24.5,0.5,1.5,t,f,0,f,280,824,+
b,27.83,1.54,3.75,t,t,5,t,100,3,+
b,20.17,5.625,1.71,t,f,0,f,120,0,+
b,32.08,4,2.5,t,f,0,t,360,0,+
b,33.17,1.04,6.5,t,f,0,t,164,31285,+
a,22.92,11.585,0.04,t,f,0,f,80,1349,+
b,54.42,0.5,3.96,t,f,0,f,180,314,+
b,42.5,4.915,3.165,t,f,0,t,52,1442,+
b,22.08,0.83,2.165,f,f,0,t,128,0,+
b,29.92,1.835,4.335,t,f,0,f,260,200,+
a,38.25,6,1,t,f,0,t,0,0,+
b,48.08,6.04,0.04,f,f,0,f,0,2690,+
a,45.83,10.5,5,t,t,7,t,0,0,+
b,36.67,4.415,0.25,t,t,10,t,320,0,+
b,28.25,0.875,0.96,t,t,3,t,396,0,+
a,23.25,5.875,3.17,t,t,10,f,120,245,+
b,21.83,0.25,0.665,t,f,0,t,0,0,+
a,19.17,8.585,0.75,t,t,7,f,96,0,+
b,25,11.25,2.5,t,t,17,f,200,1208,+
b,23.25,1,0.835,t,f,0,f,300,0,+
a,47.75,8,7.875,t,t,6,t,0,1260,+
a,27.42,14.5,3.085,t,t,1,f,120,11,+
a,41.17,6.5,0.5,t,t,3,t,145,0,+
a,15.83,0.585,1.5,t,t,2,f,100,0,+
a,47,13,5.165,t,t,9,t,0,0,+
b,56.58,18.5,15,t,t,17,t,0,0,+
b,57.42,8.5,7,t,t,3,f,0,0,+
b,42.08,1.04,5,t,t,6,t,500,10000,+
b,29.25,14.79,5.04,t,t,5,t,168,0,+
b,42,9.79,7.96,t,t,8,f,0,0,+
b,49.5,7.585,7.585,t,t,15,t,0,5000,+
a,36.75,5.125,5,t,f,0,t,0,4000,+
a,22.58,10.75,0.415,t,t,5,t,0,560,+
b,27.83,1.5,2,t,t,11,t,434,35,+
b,27.25,1.585,1.835,t,t,12,t,583,713,+
a,23,11.75,0.5,t,t,2,t,300,551,+
b,27.75,0.585,0.25,t,t,2,f,260,500,+
b,54.58,9.415,14.415,t,t,11,t,30,300,+
b,34.17,9.17,4.5,t,t,12,t,0,221,+
b,28.92,15,5.335,t,t,11,f,0,2283,+
b,29.67,1.415,0.75,t,t,1,f,240,100,+
b,39.58,13.915,8.625,t,t,6,t,70,0,+
b,56.42,28,28.5,t,t,40,f,0,15,+
b,54.33,6.75,2.625,t,t,11,t,0,284,+
a,41,2.04,0.125,t,t,23,t,455,1236,+
b,31.92,4.46,6.04,t,t,3,f,311,300,+
b,41.5,1.54,3.5,f,f,0,f,216,0,+
b,23.92,0.665,0.165,f,f,0,f,100,0,+
a,25.75,0.5,0.875,t,f,0,t,491,0,+
b,26,1,1.75,t,f,0,t,280,0,+
b,37.42,2.04,0.04,t,f,0,t,400,5800,+
